"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"DESCRIPTION";"DESIGNER";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"MPN";"PACKAGE";"PRICE";"REV";"VALUE";"VENDOR";
"A1";"ESP32-WROVER-I";"ESP32-WROVER-I";"XCVR_ESP32-WROVER-I";"Module: combo; GPIO, I2C x2, I2S x2, SDIO, SPI x3, UART x3; U.FL";"Unavailable";" Module: combo";" GPIO, I2C x2, I2S x2, SDIO, SPI x3, UART x3";" U.FL ";"";"";"";"";"Espressif Systems";"";"";"ESP32-WROVER-I";"";"Module Espressif Systems";"None";"";
"C1";"100nf";"CERAMIC-100NF-50V-10%-X7R(0805)";"C0805";"302010165";"";"";"";"";"";"";"";"";"";"";"CC0805KRX7R9BB104";"";"";"";"100nf";"";
"C2";"47UF";"ALUMINUM-SMD-47UF-25V(D6.3-H5.3MM)";"ELECTRO-SMD-C-6MM";"302030059";"";"";"";"";"";"";"";"";"";"";"CS1E470M-CRE54";"";"";"";"47UF";"";
"C3";"100nf";"CERAMIC-100NF-50V-10%-X7R(0805)";"C0805";"302010165";"";"";"";"";"";"";"";"";"";"";"CC0805KRX7R9BB104";"";"";"";"100nf";"";
"C4";"100nf";"CERAMIC-100NF-50V-10%-X7R(0805)";"C0805";"302010165";"";"";"";"";"";"";"";"";"";"";"CC0805KRX7R9BB104";"";"";"";"100nf";"";
"C5";"20uf";"CERAMIC-22UF-16V-10%-X7R(1206)";"C1206";"302010182";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C6";"100nf";"CERAMIC-100NF-50V-10%-X7R(0805)";"C0805";"302010165";"";"";"";"";"";"";"";"";"";"";"CC0805KRX7R9BB104";"";"";"";"100nf";"";
"C8";"4.7uf";"CERAMIC-4.7UF-25V-10%-X5R(0805)";"C0805";"302010146";"";"";"";"";"";"";"";"";"";"";"CC0805KKX5R8BB475";"";"";"";"4.7uf";"";
"C9";"100nf";"CERAMIC-100NF-50V-10%-X7R(0805)";"C0805";"302010165";"";"";"";"";"";"";"";"";"";"";"CC0805KRX7R9BB104";"";"";"";"100nf";"";
"CN1";"Servo";"DIP-BLACK-MALE-HEADER-VERT(3P-2.54)";"H3-2.54";"320020079";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3p-2.54";"";
