"Part";"Value";"Device";"Package";"Description";"CATEGORY";"DESCRIPTION";"DESIGNER";"HEIGHT";"MANUFACTURER";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"OPERATING_TEMP";"PART_STATUS";"REV";"ROHS_COMPLIANT";"SERIES";"SUB-CATEGORY";"THERMALLOSS";"TYPE";"VALUE";
"A1";"ESP32-WROVER-I";"ESP32-WROVER-I";"XCVR_ESP32-WROVER-I";"ESP32 WROVER-IB";"";"ESP-32 WROVER";"";"";"";"Espressif Systems";"ESP32-WROVER-IE(M213EH2864UH3Q0) ";"356-ESP32WRVIE2864UC ";"https://www.mouser.com/ProductDetail/Espressif-Systems/ESP32-WROVER-IEM213EH2864UH3Q0/?qs=%2Fha2pyFadugKGKyA%252BZerg02KWjt%252BDkpx3J9PekcVrnwUVjlziX0fZwpevaFLQ9DtOpRR%252BtWJ7uE%3D";"";"";"";"";"";"";"";"";"";"";
"C1";"22uf";"CERAMIC-22UF-6.3V-20%-X5R(0805)";"C0805";"Capacitor 22uf 20% SMD 0805";"";"Capacitor 22uf 20% SMD 0805";"";"";"";"KEMET";"C1206C226M9PACTU";"80-C1206C226M9P";"https://www.mouser.com/ProductDetail/KEMET/C1206C226M9PACTU/?qs=e7A2guvi5TDfGn1mCprQAw%3D%3D";"";"";"";"";"";"";"";"";"";"22uf";
"C2";"47UF";"ALUMINUM-SMD-47UF-25V(D6.3-H5.3MM)";"ELECTRO-SMD-C-6MM";"Electrolytic Capacitors - SMD 25 Volts 47uF 20% 6.3x5.3";"";"Electrolytic Capacitors - SMD 25 Volts 47uF 20% 6.3x5.3 ";"";"";"";"Lelon";" VE-470M1ETR-0605";"140-VE470M1ETR0605 ";"https://www.mouser.com/ProductDetail/Lelon/VE-470M1ETR-0605/?qs=%2Fha2pyFadujyJfKDrJB4ynLbAx5NeyBtku0SVNtXu37UWxAjl85WnQ%3D%3D";"";"";"";"";"";"";"";"";"";"47UF";
"C3";"100nf";"CERAMIC-100NF-50V-20%-X5R(0805)";"C0805";"Capacitor 100nf 20% SMD 0805";"";"Capacitor 100nf 20% SMD 0805";"";"";"";"Yageo";"CC0805ZRY5V9BB104";"603-CC805ZRY5V9BB104";"https://www.mouser.com/ProductDetail/Yageo/CC0805ZRY5V9BB104/?qs=%2Fha2pyFaduhNpscxq1sti0Qw6N3MgEmHt2LRq9SOD7Ebj2OJEh4r7aJUxnG3Kkh7";"";"";"";"";"";"";"";"";"";"100nf";
"C4";"22uf";"CERAMIC-22UF-6.3V-20%-X5R(0805)";"C0805";"Capacitor 22uf 20% SMD 0805";"";"Capacitor 22uf 20% SMD 0805";"";"";"";"KEMET";"C1206C226M9PACTU";"80-C1206C226M9P";"https://www.mouser.com/ProductDetail/KEMET/C1206C226M9PACTU/?qs=e7A2guvi5TDfGn1mCprQAw%3D%3D";"";"";"";"";"";"";"";"";"";"22uf";
"C5";"22uf";"CERAMIC-22UF-6.3V-20%-X5R(0805)";"C0805";"Capacitor 22uf 20% SMD 0805";"";"Capacitor 22uf 20% SMD 0805";"";"";"";"KEMET";"C1206C226M9PACTU";"80-C1206C226M9P";"https://www.mouser.com/ProductDetail/KEMET/C1206C226M9PACTU/?qs=e7A2guvi5TDfGn1mCprQAw%3D%3D";"";"";"";"";"";"";"";"";"";"22uf";
"C6";"100nf";"CERAMIC-100NF-50V-20%-X5R(0805)";"C0805";"Capacitor 100nf 20% SMD 0805";"";"Capacitor 100nf 20% SMD 0805";"";"";"";"Yageo";"CC0805ZRY5V9BB104";"603-CC805ZRY5V9BB104";"https://www.mouser.com/ProductDetail/Yageo/CC0805ZRY5V9BB104/?qs=%2Fha2pyFaduhNpscxq1sti0Qw6N3MgEmHt2LRq9SOD7Ebj2OJEh4r7aJUxnG3Kkh7";"";"";"";"";"";"";"";"";"";"100nf";
"C8";"4.7uf";"CERAMIC-4.7UF-25V-10%-X5R(0805)";"C0805";"302010146";"";"Capacitor 4.7uf 10% SMD 0805";"";"";"";"Walsin";"0805X475M250CT";"791-0805X475M250CT";"https://www.mouser.com/ProductDetail/Walsin/0805X475M250CT/?qs=%2Fha2pyFadugovbtJ4IPO2aI5%2FHfN6czWOLxzJ368rfolfgZFQZPK8JJR9MicoCMy";"";"";"";"";"";"";"";"";"";"4.7uf";
"C9";"100nf";"CERAMIC-100NF-50V-20%-X5R(0805)";"C0805";"Capacitor 100nf 20% SMD 0805";"";"Capacitor 100nf 20% SMD 0805";"";"";"";"Yageo";"CC0805ZRY5V9BB104";"603-CC805ZRY5V9BB104";"https://www.mouser.com/ProductDetail/Yageo/CC0805ZRY5V9BB104/?qs=%2Fha2pyFaduhNpscxq1sti0Qw6N3MgEmHt2LRq9SOD7Ebj2OJEh4r7aJUxnG3Kkh7";"";"";"";"";"";"";"";"";"";"100nf";
"D1";"PMEG3050EP,115";"PMEG3050EP,115";"PMEG3050EP115";"NXP PMEG3050EP,115 SMT Schottky Diode, 30V 5A, 2-Pin SOD-128";"";"NXP PMEG3050EP,115 SMT Schottky Diode, 30V 5A, 2-Pin SOD-128";"";"1mm";"";"Nexperia";"PMEG3050EP,115";"771-PMEG3050EP115";"https://www.mouser.co.uk/ProductDetail/Nexperia/PMEG3050EP115?qs=GcY6OjH1zdmnjQ%2FhUT5aOA%3D%3D";"";"";"";"";"";"";"";"";"";"";
